Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Portugal,9426,9666,9455,9558,9661,9766,9855,9864,10009,10089,10011,10011,9994,9968,9937,9899,9871,9867,9881,10004,10030,10058,10091.12,10129.29,10171.949,10225.836,10292.999,10368.403,10441.075,10483.861,10503.33,10522.288,10542.964,10558.177,10568.247,10573.1,10557.56,10514.844,10457.295,10401.062,10358.076,10341.33,10300.3,10283.822,10286.263,10297.0805,10298.252,10352.042,10467.366
Romania,21245,21446,21658,21855,22048,22201,22353,22478,22553,22625,22725,22823,22940,23054,23152,23207,23185,22789,22755,22731,22681,22608,22545.925,22502.803,22458.022,22435.205,22408.393,21794.793,21733.556,21673.328,21319.673,21193.749,20882.98,20537.848,20367.437,20246.798,20147.657,20060.182,19988.694,19913.193,19819.697,19760.314,19592.933,19483.84,19394.228,19269.469,19126.302,19042.455,19054.548
San Marino,20,20,20,21,21,21,22,22,22,22,22,23,23,23,23,23,23,24,24,25,25,25,25.823,27.685,28.106,26.941,27.634,28.486,28.992,29.457,29.836,30.184,31.211,31.662,33.066,33.27,33.389,33.518,33.469,33.648,33.738,34.006,34.267,34.453,34.59,34.735,34.805,33.698,33.812
Spain,35596,35971,36351,36775,37183,37542,37751,37970,38162,38328,38474,38604,38716,38809,38792,38851,38920,39011,39096,39263,39388,39479,39583.381,39722.075,39927.224,40264.162,40721.447,41314.019,42004.575,42859.173,43662.617,44360.525,45236.002,45983.167,46367.545,46562.486,46736.255,46766.399,46593.236,46480.882,46447.697,46445.828,46532.868964071,46728.814005223,47105.358373153,47355.684576844,47326.687454405,47432.893,48085.361
Sweden,8193,8222,8252,8276,8294,8310,8320,8325,8329,8337,8350,8370,8398,8437,8493,8559,8617,8668,8719,8781,8827,8841,8846.062,8850.974,8857.874,8872.11,8895.96,8924.958,8958.229,8993.531,9029.572,9080.505,9148.092,9219.637,9298.515,9378.126,9449.213,9519.375,9600.379,9696.11,9799.186,9851.017,10057.6975,10120.242,10230.185,10327.589,10379.295,10452.326,10521.556
Switzerland,6405,6346,6327,6333,6351,6319,6354,6391,6419,6442,6470,6504,6545,6593,6647,6712,6800,6875,6938,6994,7041,7081,7088.906,7110.002,7143.991,7184.25,7226.647,7284.754,7339.002,7389.626,7437.116,7483.935,7551.117,7647.675,7743.832,7824.909,7912.398,7996.861,8089.346,8188.649,8282.396,8327.126,8451.84,8507.202,8606.033,8670.3,8738.791,8815.385,8815.385
United Kingdom,56215,56206,56209,56178,56242,56330,56352,56306,56347,56506,56685,56852,57009,57158,57358,57561,57808,58013,58198,57862,58025,58164,58314.249,58474.943,58684.427,58886.065,59113.497,59318.779,59552.182,59950.364,60413.276,60827.067,61319.075,61823.772,62260.486,62759.456,63285.145,63705.03,64102.166,64591.713,65128.861,65382.556,65808.573,66435.55,66796.807,67081.234,67026.292,67596.281,67596.281
Yugoslavia,21365,21573,21775,21974,22166,22304,22471,22642,22805,22966,23124,23274,23417,23566,23695,23818,23931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,254469,256760,259029,261253,263425,265542,267622,269901,272368,274874,277334,280016,282830,285419,286731,288595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,16451,16518,16381,16146,15816,15578,15334.405,15072.983,14928.373,14883.626,14858.335,14858.948,14909.018,15012.985,15147.029,15308.084,15484.192,15674,16092.701,16321.581,16556.601,16791.427,17035.275,17160.774,17160.774,17160.774,18037.776,18276.452,18513.673,18755.6655,19000.9875,19634.983,19900.3245
